profile_id,rows,minutes,speed_max,pm_min,pm_max,pm_swing,max_const_torque_s
56,33123,276.025,5981.344042117183,53.95522101909368,97.55267428945756,43.59745327036388,0.5
57,14403,120.025,5941.891018793704,26.280030362660384,88.63075111510535,62.35072075244497,0.5
58,33382,278.18333333333334,5946.575465557418,38.13721877091794,92.9798480596275,54.84262928870956,93.0
59,7475,62.291666666666664,5896.685493442599,45.36862682926371,92.43740884161018,47.06878201234647,102.5
60,14543,121.19166666666666,5901.428344544473,35.50593798807242,85.14626120330462,49.6403232152322,661.0
61,14516,120.96666666666667,5928.642347242137,60.94453173858751,92.76439365741376,31.819861918826255,729.5
62,25600,213.33333333333334,5898.618092554092,23.055231794786028,76.26787895485614,53.21264716007012,8072.5
63,16668,138.9,5945.239779905408,27.42243672056358,71.6360629782701,44.21362625770652,1589.5
64,6250,52.083333333333336,5878.893795991276,26.412341450556575,69.44048678430156,43.02814533374498,0.5
65,40094,334.1166666666667,5960.176644570681,25.670752344224184,93.0631816822482,67.39242933802402,6096.0
66,36476,303.96666666666664,5977.094887580593,49.61960720384874,94.2019658765611,44.58235867271237,6090.5
67,11135,92.79166666666667,5898.573933598967,26.050239460657902,65.74075754929605,39.69051808863814,832.5
68,23331,194.425,5944.422788679342,27.97909623538461,85.99269820610182,58.01360197071721,17.0
69,15350,127.91666666666667,5911.342875425805,26.238340778923806,85.30380905872816,59.06546827980436,0.5
70,25677,213.975,5898.3688833677925,33.93356818555743,76.42954032513936,42.49597213958193,936.0
71,14656,122.13333333333334,5947.967985117136,22.89976317532126,77.50244311223139,54.60267993691013,0.5
72,15301,127.50833333333334,5950.138973551193,36.81684398529013,77.88281727696962,41.06597329167949,242.0
73,16786,139.88333333333333,5921.119804510964,24.829500062148124,88.24325921898165,63.41375915683352,78.5
74,23761,198.00833333333333,5943.326162703757,62.8817953668417,91.92511591280216,29.043320545960455,280.5
75,13472,112.26666666666667,5941.931831728657,23.358979456170996,93.67320725908591,70.31422780291491,368.0
76,22188,184.9,5945.497772439746,31.433066986032916,82.55453229768297,51.121465311650056,63.5
78,8445,70.375,5901.991122094667,21.266710199894973,68.02935889084804,46.76264869095307,0.5
79,31154,259.6166666666667,5947.926911514195,25.551252805824433,97.15327126744508,71.60201846162064,1099.0
80,23824,198.53333333333333,5943.53576894285,23.2714833300097,81.76059258551889,58.48910925550919,36.5
81,17672,147.26666666666668,5898.6016218398145,23.985064478838886,76.63638986068867,52.65132538184978,4119.0
